source,target,value
npm,css,5
npm,docker,16
npm,firebase,4
npm,flutter,1
npm,git,8
npm,github,6
npm,go,1
npm,gradle,2
npm,java,1
npm,javascript,89
npm,jenkins,1
npm,json,3
npm,kotlin,1
npm,kubernetes,1
npm,linux,3
npm,mongodb,2
npm,mysql,2
npm,postgresql,2
npm,powershell,2
npm,python,2
npm,react-native,18
npm,security,2
npm,sockets,1
npm,sqlite,1
npm,testing,1
npm,typescript,38
npm,ubuntu,2
npm,windows,3
oauth,angular,2
oauth,api,9
oauth,authentication,6
oauth,azure,2
oauth,c#,3
oauth,docker,1
oauth,firebase,5
oauth,flutter,4
oauth,github,2
oauth,http,1
oauth,java,1
oauth,javascript,3
oauth,npm,1
oauth,php,2
oauth,powershell,1
oauth,python,4
oauth,react-native,1
oauth,rust,1
oauth,ubuntu,1
observability,go,1
observability,mysql,1
observability,prometheus,1
oop,angular,1
oop,authentication,1
oop,c#,11
oop,dart,4
oop,flutter,4
oop,java,33
oop,javascript,11
oop,json,1
oop,kotlin,2
oop,linux,1
oop,php,11
oop,python,50
oop,sqlite,1
oop,typescript,3
oop,unit-testing,1
opacity,css,2
opacity,flutter,1
openbsd,linux,1
openbsd,npm,1
openid,authentication,1
openid,azure,1
openid,c#,1
openid,docker,1
openid,jwt,1
openid,python,1
openzeppelin,blockchain,1
openzeppelin,ethereum,1
openzeppelin,solidity,2
openzeppelin,unit-testing,1
operators,c#,1
operators,java,1
operators,javascript,1
operators,kubernetes,1
operators,mysql,2
operators,php,1
operators,postgresql,1
operators,python,3
operators,rust,1
oracle,c#,11
oracle,css,1
oracle,java,26
oracle,javascript,7
oracle,json,13
oracle,linux,4
oracle,mysql,2
oracle,postgresql,1
oracle,python,13
parcel,azure,1
parcel,javascript,3
parcel,npm,2
parcel,sass,1
parcel,typescript,2
php,c#,4
php,java,9
php,javascript,265
php,python,16
pnpm,deployment,1
pnpm,github-actions,1
pnpm,linux,1
pnpm,npm,2
pnpm,react-native,1
pnpm,svelte,1
pnpm,typescript,7
pnpm,webpack,1
polygon,angular,1
polygon,blockchain,2
polygon,c#,2
polygon,css,1
polygon,javascript,2
polygon,json,1
polygon,python,8
polygon,solidity,2
polygon,testing,1
posix,dart,1
posix,flutter,1
posix,linux,2
posix,memory-management,1
posix,multithreading,1
posix,php,1
posix,python,1
postcss,css,4
postcss,gatsby,1
postcss,javascript,1
postcss,rollup,1
postcss,sass,2
postcss,typescript,1
postcss,vite,2
postgresql,ajax,1
postgresql,angular,2
postgresql,c#,22
postgresql,java,70
postgresql,javascript,23
postgresql,json,22
postgresql,linux,4
postgresql,mongodb,2
postgresql,mysql,6
postgresql,php,11
postgresql,python,93
postgresql,ruby,10
postgresql,typescript,10
powershell,azure,51
powershell,c#,22
powershell,css,1
powershell,docker,7
powershell,flutter,2
powershell,git,2
powershell,java,2
powershell,javascript,2
powershell,json,13
powershell,linux,3
powershell,multithreading,1
powershell,php,2
powershell,python,17
powershell,ruby,1
powershell,windows,62
prettier,angular,1
prettier,css,1
prettier,eslint,12
prettier,github,1
prettier,intellij-idea,1
prettier,javascript,6
prettier,npm,1
prettier,react-native,1
prettier,typescript,3
prettier,webpack,1
prometheus,api,1
prometheus,azure,2
prometheus,c#,1
prometheus,docker,4
prometheus,elasticsearch,1
prometheus,github,1
prometheus,github-actions,1
prometheus,go,2
prometheus,https,1
prometheus,java,4
prometheus,json,2
prometheus,kubernetes,16
prometheus,mongodb,2
prometheus,mysql,1
prometheus,postgresql,1
prometheus,python,8
prometheus,terraform,2
provider,android-studio,1
provider,api,1
provider,async-await,1
provider,bloc,1
provider,dart,8
provider,firebase,2
provider,flutter,13
provider,javascript,1
provider,sqlite,1
provider,terraform,1
provider,typescript,1
provider,web3js,1
pulumi,azure,2
pulumi,docker,2
pulumi,github-actions,1
pulumi,go,2
pulumi,javascript,1
pulumi,python,1
puppet,docker,1
python,javascript,175
python,linux,1
rabbitmq,architecture,1
rabbitmq,c#,16
rabbitmq,docker,6
rabbitmq,go,1
rabbitmq,http,1
rabbitmq,java,9
rabbitmq,javascript,2
rabbitmq,junit,1
rabbitmq,kubernetes,3
rabbitmq,linux,2
rabbitmq,multithreading,1
rabbitmq,nginx,1
rabbitmq,oauth,1
rabbitmq,php,9
rabbitmq,python,19
rabbitmq,redis,1
rabbitmq,typescript,1
rabbitmq,ubuntu,1
rabbitmq,windows,1
radix-ui,css,1
radix-ui,javascript,1
radix-ui,typescript,1
react-native,angular,2
react-native,azure,2
react-native,c#,2
react-native,css,18
react-native,firebase,55
react-native,flutter,4
react-native,java,19
react-native,javascript,267
react-native,json,7
react-native,mongodb,4
react-native,mysql,1
react-native,php,2
react-native,python,5
react-native,ruby,2
react-native,typescript,50
redis,authentication,1
redis,azure,4
redis,c#,7
redis,deployment,2
redis,docker,8
redis,elasticsearch,1
redis,heroku,4
redis,java,19
redis,javascript,10
redis,json,2
redis,kotlin,1
redis,kubernetes,3
redis,linux,1
redis,mongodb,2
redis,multithreading,1
redis,oracle,1
redis,php,5
redis,postgresql,3
redis,python,29
redis,rest,1
redis,ruby,1
redis,rust,1
redis,security,1
redis,typescript,5
redis,ubuntu,1
redis,windows,2
redux,angular,5
redux,firebase,1
redux,javascript,53
redux,json,2
redux,react-native,14
redux,testing,1
redux,typescript,23
redux,webpack,1
remix,blockchain,3
remix,ethereum,1
remix,fetch-api,2
remix,javascript,6
remix,mysql,1
remix,solidity,5
remix,typescript,1
remix,web3js,1
rest,ajax,1
rest,angular,8
rest,api,88
rest,azure,7
rest,c#,24
rest,docker,2
rest,firebase,1
rest,flutter,8
rest,java,34
rest,javascript,22
rest,json,19
rest,linux,1
rest,mongodb,1
rest,multithreading,1
rest,mysql,3
rest,php,16
rest,postgresql,3
rest,powershell,3
rest,python,28
rest,react-native,1
rest,typescript,5
rethinkdb,docker,1
rethinkdb,go,1
reverse-proxy,apache,4
reverse-proxy,azure,1
reverse-proxy,c#,2
reverse-proxy,docker,4
reverse-proxy,firebase,1
reverse-proxy,go,1
reverse-proxy,hosting,1
reverse-proxy,http,2
reverse-proxy,java,3
reverse-proxy,kubernetes,5
reverse-proxy,networking,1
reverse-proxy,nginx,15
reverse-proxy,postgresql,1
reverse-proxy,tomcat,2
rhel,ansible,1
rhel,apache,1
rhel,docker,2
rhel,java,1
rhel,jwt,1
rhel,linux,2
rhel,python,1
riverpod,dart,14
riverpod,flutter,29
riverpod,mongodb,1
riverpod,provider,2
riverpod,server-sent-events,1
riverpod,unit-testing,1
rollup,css,2
rollup,javascript,8
rollup,mariadb,1
rollup,npm,1
rollup,styled-components,1
rollup,svelte,3
rollup,typescript,8
rollup,vite,8
ruby,java,2
ruby,javascript,2
ruby,json,1
ruby,mysql,4
ruby,python,4
rust,api,3
rust,c#,2
rust,css,1
rust,docker,8
rust,flutter,3
rust,gcc,3
rust,git,1
rust,github,1
rust,heroku,1
rust,http,4
rust,java,1
rust,javascript,6
rust,json,6
rust,linux,7
rust,mongodb,4
rust,multithreading,15
rust,mysql,1
rust,networking,2
rust,postgresql,9
rust,python,7
rust,rest,1
rust,sqlite,1
rust,testing,5
rust,ubuntu,1
rust,unix,1
rust,windows,9
rxdart,dart,2
rxdart,flutter,3
saml,authentication,3
saml,azure,2
saml,cors,1
saml,github,1
saml,go,1
saml,heroku,1
saml,java,2
saml,python,1
saml,soap,1
sass,angular,35
sass,css,103
sass,docker,1
sass,java,1
sass,javascript,26
sass,npm,2
sass,ruby,1
sass,typescript,12
sass,webpack,5
sass,windows,1
security,angular,2
security,apache,4
security,api,7
security,authentication,13
security,azure,2
security,c#,5
security,css,1
security,dart,2
security,docker,7
security,elasticsearch,1
security,firebase,2
security,flutter,4
security,git,2
security,http,6
security,java,25
security,javascript,9
security,kotlin,1
security,linux,8
security,mysql,1
security,php,13
security,powershell,2
security,python,10
security,react-native,2
security,sockets,1
security,sqlite,1
security,ubuntu,1
security,windows,4
segment,analytics,1
segment,flutter,1
segment,oracle,1
segment,python,1
seo,angular,2
seo,css,1
seo,deployment,1
seo,dom,1
seo,javascript,5
seo,json,1
seo,php,3
server-sent-events,fetch-api,1
server-sent-events,flutter,1
server-sent-events,heroku,1
server-sent-events,https,1
server-sent-events,java,3
server-sent-events,javascript,4
server-sent-events,json,1
server-sent-events,kotlin,1
server-sent-events,kubernetes,1
server-sent-events,nginx,1
server-sent-events,php,2
server-sent-events,python,1
server-sent-events,typescript,1
serverless,api,2
serverless,authentication,1
serverless,design-patterns,1
serverless,docker,1
serverless,hosting,1
serverless,mongodb,4
serverless,postgresql,2
serverless,python,1
serverless,security,1
serverless,typescript,6
sftp,authentication,1
sftp,azure,4
sftp,azure-devops,1
sftp,c#,1
sftp,css,1
sftp,docker,1
sftp,ftp,6
sftp,google-analytics,1
sftp,java,3
sftp,kotlin,1
sftp,kubernetes,1
sftp,linux,1
sftp,php,1
sftp,powershell,3
sftp,python,7
sftp,ssh,3
sftp,ubuntu,1
shadow-dom,angular,2
shadow-dom,c#,1
shadow-dom,css,4
shadow-dom,javascript,2
shadow-dom,python,1
smtp,angular,1
smtp,authentication,1
smtp,c#,6
smtp,dns,1
smtp,docker,1
smtp,git,1
smtp,go,2
smtp,java,4
smtp,javascript,1
smtp,linux,2
smtp,php,13
smtp,powershell,2
smtp,python,12
smtp,tomcat,1
soa,json,1
soa,rest,1
soap,api,6
soap,authentication,1
soap,azure,1
soap,c#,8
soap,dart,1
soap,flutter,1
soap,java,19
soap,javascript,3
soap,kotlin,1
soap,mysql,1
soap,nginx,1
soap,php,8
soap,python,6
soap,rest,1
sockets,api,1
sockets,c#,7
sockets,flutter,1
sockets,go,1
sockets,http,3
sockets,java,10
sockets,javascript,9
sockets,json,2
sockets,kotlin,1
sockets,linux,10
sockets,multithreading,9
sockets,php,3
sockets,powershell,1
sockets,python,45
sockets,ruby,1
sockets,sqlite,1
sockets,typescript,1
sockets,unit-testing,1
solana,api,1
solana,blockchain,1
solana,javascript,1
solana,react-native,1
solana,rust,2
solana,web3js,2
solid-principles,dependency-injection,1
solid-principles,design-patterns,1
solid-principles,functional-programming,1
solid-principles,java,1
solid-principles,javascript,2
solid-principles,php,1
solid-principles,python,1
solidity,api,1
solidity,blockchain,30
solidity,c#,1
solidity,cryptography,1
solidity,docker,1
solidity,ethereum,33
solidity,javascript,13
solidity,php,1
solidity,python,4
solidity,testing,2
solidity,transactions,2
solidity,typescript,3
solidity,unit-testing,1
solr,ajax,1
solr,api,1
solr,docker,1
solr,elasticsearch,1
solr,go,1
solr,java,1
solr,javascript,1
solr,json,1
solr,oracle,1
solr,python,3
splunk,docker,1
splunk,java,1
splunk,security,1
sqlite,api,1
sqlite,azure,2
sqlite,c#,20
sqlite,docker,5
sqlite,flutter,24
sqlite,java,12
sqlite,javascript,9
sqlite,json,4
sqlite,linux,4
sqlite,multithreading,1
sqlite,oracle,1
sqlite,php,1
sqlite,postgresql,4
sqlite,powershell,1
sqlite,python,84
sqlite,react-native,9
sqlite,typescript,3
sqlite,windows,2
ssh,authentication,2
ssh,azure,2
ssh,c#,4
ssh,docker,7
ssh,gcc,1
ssh,git,19
ssh,github,9
ssh,go,4
ssh,heroku,1
ssh,java,1
ssh,jenkins,3
ssh,kubernetes,2
ssh,linux,15
ssh,mysql,3
ssh,networking,1
ssh,npm,2
ssh,php,1
ssh,postgresql,1
ssh,powershell,4
ssh,python,18
ssh,rust,1
ssh,security,1
ssh,sockets,1
ssh,testing,1
ssh,ubuntu,7
ssh,windows,4
static-analysis,c#,1
static-analysis,gcc,1
static-analysis,go,1
static-analysis,php,1
storage,api,1
storage,azure,2
storage,c#,2
storage,deployment,1
storage,firebase,1
storage,flutter,1
storage,javascript,3
storage,kotlin,2
storage,linux,3
storage,powershell,1
storage,python,1
storage,security,1
storage,unit-testing,1
storage,windows,2
styled-components,c#,1
styled-components,css,10
styled-components,dom,1
styled-components,eslint,1
styled-components,javascript,9
styled-components,json,1
styled-components,material-ui,5
styled-components,npm,4
styled-components,react-native,4
styled-components,typescript,7
svelte,apache,1
svelte,async-await,2
svelte,authentication,1
svelte,azure,1
svelte,components,2
svelte,css,10
svelte,deployment,2
svelte,dom,1
svelte,electron,3
svelte,javascript,35
svelte,mongodb,1
svelte,nginx,1
svelte,npm,8
svelte,sass,2
svelte,typescript,17
svelte,variables,2
systemd,ansible,1
systemd,debian,1
systemd,gcc,1
systemd,jenkins,1
systemd,linux,8
systemd,mysql,1
systemd,python,2
systemd,ubuntu,3
tauri,circleci,1
tauri,css,1
tauri,javascript,4
tauri,multithreading,1
tauri,python,1
tauri,rust,13
tauri,svelte,2
tauri,typescript,1
tauri,ubuntu,1
tauri,windows,2
tdd,design-patterns,1
tdd,testing,2
tdd,unit-testing,3
teamcity,bitbucket,1
teamcity,deployment,1
teamcity,docker,1
teamcity,git,4
teamcity,github,1
teamcity,gitlab,1
teamcity,java,1
teamcity,kotlin,2
teamcity,python,1
telemetry,go,1
terraform,api,1
terraform,azure,68
terraform,azure-devops,11
terraform,deployment,2
terraform,docker,9
terraform,git,2
terraform,github,3
terraform,go,2
terraform,jenkins,3
terraform,json,6
terraform,kubernetes,12
terraform,networking,1
terraform,postgresql,3
terraform,powershell,3
terraform,python,3
terraform,rest,1
terraform,security,2
terraform,ssh,1
terraform,windows,1
testing,android-studio,2
testing,angular,12
testing,api,4
testing,authentication,2
testing,c#,18
testing,css,3
testing,dart,3
testing,docker,1
testing,flutter,6
testing,github,1
testing,go,6
testing,gradle,1
testing,http,1
testing,java,41
testing,javascript,42
testing,jenkins,1
testing,json,3
testing,kotlin,5
testing,kubernetes,1
testing,linux,2
testing,mongodb,5
testing,multithreading,1
testing,oop,1
testing,php,8
testing,postgresql,4
testing,powershell,1
testing,python,27
testing,react-native,2
testing,rest,2
testing,security,1
testing,sqlite,1
testing,typescript,14
testing,unit-testing,32
throttling,api,1
throttling,architecture,1
throttling,c#,1
throttling,design-patterns,1
throttling,go,1
throttling,python,2
throttling,redis,1
tomcat,ajax,1
tomcat,angular,1
tomcat,apache,1
tomcat,authentication,2
tomcat,azure,1
tomcat,docker,6
tomcat,gradle,1
tomcat,java,57
tomcat,javascript,2
tomcat,jenkins,2
tomcat,kotlin,1
tomcat,kubernetes,4
tomcat,linux,3
tomcat,mysql,4
tomcat,nginx,2
tomcat,postgresql,2
tomcat,security,1
tomcat,windows,3
transactions,api,2
transactions,c#,4
transactions,go,2
transactions,intellij-idea,1
transactions,java,10
transactions,mongodb,3
transactions,mysql,6
transactions,oracle,2
transactions,postgresql,6
transactions,powershell,1
transactions,python,7
transactions,redis,2
transactions,rust,1
travis-ci,mysql,1
truffle,blockchain,4
truffle,ethereum,4
truffle,javascript,1
truffle,solana,1
truffle,solidity,8
truffle,web3js,1
typescript,ajax,2
typescript,angular,421
typescript,c#,5
typescript,css,39
typescript,java,7
typescript,javascript,599
typescript,json,37
typescript,linux,2
typescript,mysql,8
typescript,php,6
typescript,python,7
ubuntu,android-studio,1
ubuntu,apache,9
ubuntu,api,1
ubuntu,authentication,1
ubuntu,c#,2
ubuntu,dart,2
ubuntu,docker,41
ubuntu,flutter,7
ubuntu,git,7
ubuntu,go,2
ubuntu,java,11
ubuntu,javascript,6
ubuntu,json,1
ubuntu,kotlin,1
ubuntu,linux,63
ubuntu,mongodb,3
ubuntu,mysql,8
ubuntu,php,15
ubuntu,postgresql,10
ubuntu,powershell,1
ubuntu,python,38
ubuntu,ruby,4
ubuntu,sockets,1
ubuntu,windows,10
unit-testing,angular,22
unit-testing,api,1
unit-testing,azure,1
unit-testing,c#,40
unit-testing,dart,6
unit-testing,firebase,2
unit-testing,flutter,8
unit-testing,java,32
unit-testing,javascript,27
unit-testing,json,1
unit-testing,kotlin,9
unit-testing,multithreading,2
unit-testing,mysql,2
unit-testing,php,1
unit-testing,postgresql,1
unit-testing,powershell,1
unit-testing,python,33
unit-testing,react-native,2
unit-testing,ruby,2
unit-testing,sqlite,1
unit-testing,typescript,20
unix,docker,2
unix,git,1
unix,go,2
unix,java,2
unix,javascript,1
unix,linux,26
unix,mysql,3
unix,powershell,1
unix,python,4
unix,sockets,1
unix,ubuntu,3
unix,windows,1
variables,angular,1
variables,api,1
variables,c#,5
variables,css,2
variables,dart,2
variables,docker,1
variables,flutter,5
variables,github,3
variables,java,7
variables,javascript,26
variables,kotlin,1
variables,linux,3
variables,multithreading,1
variables,mysql,1
variables,nginx,1
variables,oop,2
variables,oracle,1
variables,php,5
variables,powershell,2
variables,python,29
variables,react-native,1
variables,sqlite,1
vault,ansible,1
vault,github,1
vault,github-actions,1
vault,javascript,1
vault,postgresql,1
vault,terraform,1
vim,javascript,1
vim,linux,3
vim,python,2
vim,ruby,1
vim,unix,1
virtualization,docker,2
virtualization,kubernetes,1
virtualization,linux,1
virtualization,ssh,1
virtualization,testing,1
virtualization,windows,2
vite,angular,2
vite,apache,1
vite,api,1
vite,css,10
vite,deployment,3
vite,docker,5
vite,electron,12
vite,eslint,1
vite,firebase,4
vite,github,3
vite,github-actions,2
vite,heroku,4
vite,https,1
vite,intellij-idea,1
vite,javascript,74
vite,json,3
vite,kubernetes,1
vite,material-ui,4
vite,mysql,1
vite,nginx,4
vite,npm,15
vite,php,2
vite,postgresql,1
vite,sass,11
vite,sqlite,1
vite,styled-components,2
vite,svelte,15
vite,testing,2
vite,typescript,67
vite,ubuntu,2
vite,unit-testing,2
vite,webpack,8
vite,windows,1
vyper,truffle,1
web3js,blockchain,5
web3js,ethereum,18
web3js,graphql,1
web3js,javascript,7
web3js,php,1
web3js,rest,1
web3js,solidity,17
web3js,transactions,1
web3js,typescript,2
webpack,angular,20
webpack,azure,1
webpack,css,11
webpack,docker,1
webpack,firebase,3
webpack,heroku,1
webpack,http,1
webpack,intellij-idea,1
webpack,java,2
webpack,javascript,84
webpack,json,1
webpack,mongodb,1
webpack,npm,13
webpack,php,1
webpack,react-native,5
webpack,sqlite,1
webpack,typescript,46
windows,angular,3
windows,c#,50
windows,java,19
windows,javascript,5
windows,json,3
windows,linux,22
windows,mongodb,2
windows,mysql,4
windows,php,10
windows,postgresql,4
windows,python,110
windows,ruby,2
windows,typescript,2
zabbix,api,1
zabbix,javascript,1
zabbix,kubernetes,1
zabbix,linux,1
zabbix,mongodb,1
zabbix,monitoring,7
zabbix,mysql,1
zabbix,postgresql,1
